Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
China;CHN;1,12471E+12;1,2716E+12;1,48656E+12;1,73377E+12;2,00228E+12;2,2698E+12;2,54194E+12;2,82593E+12;3,08404E+12;3,36967E+12;3,74189E+12;4,1442E+12;4,59762E+12;5,16277E+12;5,83873E+12;6,71179E+12;7,7957E+12;9,13988E+12;1,02169E+13;1,12465E+13;1,25893E+13;1,40648E+13;1,54652E+13;1,66702E+13;1,77541E+13;1,85775E+13;1,96473E+13;2,09746E+13;2,28625E+13;2,47776E+13;2,57772E+13;2,94382E+13;3,25255E+13;3,55204E+13;3,81901E+13
United States;USA;5,96314E+12;6,15813E+12;6,52033E+12;6,85856E+12;7,28724E+12;7,63975E+12;8,07312E+12;8,57755E+12;9,06282E+12;9,63117E+12;1,0251E+13;1,05819E+13;1,09291E+13;1,14565E+13;1,22172E+13;1,30392E+13;1,38156E+13;1,44742E+13;1,47699E+13;1,44781E+13;1,5049E+13;1,55997E+13;1,6254E+13;1,68807E+13;1,76081E+13;1,8295E+13;1,88049E+13;1,96121E+13;2,06565E+13;2,154E+13;2,13541E+13;2,36812E+13;2,60069E+13;2,77207E+13;2,91849E+13
India;IND;1,04833E+12;1,09524E+12;1,18161E+12;1,26708E+12;1,38031E+12;1,516E+12;1,6603E+12;1,75733E+12;1,88698E+12;2,08296E+12;2,21197E+12;2,37088E+12;2,49931E+12;2,74899E+12;3,04657E+12;3,39106E+12;3,77741E+12;4,17697E+12;4,38886E+12;4,7631E+12;5,23066E+12;5,61838E+12;6,16275E+12;6,49774E+12;6,81281E+12;7,20458E+12;7,79552E+12;8,35471E+12;9,23079E+12;9,93285E+12;9,77102E+12;1,13844E+13;1,31241E+13;1,48459E+13;1,61908E+13
Russian Federation;RUS;1,18787E+12;1,16606E+12;1,01933E+12;9,53037E+11;8,51034E+11;8,32875E+11;8,17527E+11;8,4311E+11;8,07029E+11;8,70676E+11;1,00058E+12;1,07459E+12;1,1679E+12;1,33866E+12;1,47334E+12;1,69673E+12;2,13319E+12;2,37745E+12;2,8782E+12;2,7686E+12;2,927E+12;3,25932E+12;3,4803E+12;3,74178E+12;3,76353E+12;3,52624E+12;3,53898E+12;3,8071E+12;4,23184E+12;4,57955E+12;4,65143E+12;5,68827E+12;6,00631E+12;6,47648E+12;6,92125E+12
Japan;JPN;2,45876E+12;2,63147E+12;2,71568E+12;2,76728E+12;2,85699E+12;2,99364E+12;3,14399E+12;3,22959E+12;3,22445E+12;3,25897E+12;3,4612E+12;3,55284E+12;3,64793E+12;3,75392E+12;3,93896E+12;4,11044E+12;4,30032E+12;4,48208E+12;4,51727E+12;4,29563E+12;4,5254E+12;4,6294E+12;4,79961E+12;5,02159E+12;5,03445E+12;5,20091E+12;5,1589E+12;5,26225E+12;5,34406E+12;5,40446E+12;5,35671E+12;5,57465E+12;5,9304E+12;6,21296E+12;6,40767E+12
Germany;DEU;1,55061E+12;1,68494E+12;1,75812E+12;1,78058E+12;1,86386E+12;1,92882E+12;1,97907E+12;2,02164E+12;2,08762E+12;2,17713E+12;2,25817E+12;2,36156E+12;2,43454E+12;2,50122E+12;2,6205E+12;2,6649E+12;2,86248E+12;3,03689E+12;3,1566E+12;3,0758E+12;3,24904E+12;3,4838E+12;3,55719E+12;3,70075E+12;3,8822E+12;3,96657E+12;4,24671E+12;4,47259E+12;4,66536E+12;4,92498E+12;4,88037E+12;5,20231E+12;5,66389E+12;5,76347E+12;6,03785E+12
Brazil;BRA;9,97458E+11;1,04183E+12;1,05978E+12;1,13833E+12;1,23068E+12;1,30955E+12;1,36299E+12;1,43356E+12;1,45457E+12;1,48206E+12;1,58213E+12;1,64024E+12;1,7166E+12;1,77046E+12;1,92279E+12;2,04657E+12;2,19327E+12;2,38943E+12;2,55954E+12;2,57208E+12;2,79933E+12;2,97063E+12;2,99214E+12;3,12054E+12;3,16681E+12;2,98912E+12;2,90789E+12;2,98029E+12;3,18719E+12;3,33378E+12;3,35978E+12;3,78777E+12;4,18023E+12;4,47104E+12;4,73465E+12
Indonesia;IDN;5,58567E+11;6,1737E+11;6,72467E+11;7,33128E+11;8,0524E+11;8,89702E+11;9,76822E+11;1,04037E+12;9,13959E+11;9,34226E+11;1,00239E+12;1,06231E+12;1,12736E+12;1,20457E+12;1,29919E+12;1,41621E+12;1,54019E+12;1,68229E+12;1,81782E+12;1,91369E+12;2,0575E+12;2,22951E+12;2,40829E+12;2,52424E+12;2,60552E+12;2,6252E+12;2,71576E+12;2,85731E+12;3,06992E+12;3,26619E+12;3,2234E+12;3,53062E+12;3,98307E+12;4,33474E+12;4,66289E+12
France;FRA;1,01792E+12;1,0644E+12;1,10574E+12;1,12715E+12;1,17899E+12;1,23177E+12;1,27041E+12;1,33039E+12;1,40011E+12;1,46438E+12;1,584E+12;1,6783E+12;1,75238E+12;1,74472E+12;1,81382E+12;1,92267E+12;2,0633E+12;2,18089E+12;2,25656E+12;2,24318E+12;2,33519E+12;2,45096E+12;2,47339E+12;2,61242E+12;2,66695E+12;2,7229E+12;2,86115E+12;2,97579E+12;3,11488E+12;3,44528E+12;3,34502E+12;3,56292E+12;3,82396E+12;3,98238E+12;4,20156E+12
United Kingdom;GBR;9,76326E+11;9,98208E+11;1,02505E+12;1,07548E+12;1,14069E+12;1,19409E+12;1,27609E+12;1,34509E+12;1,38543E+12;1,43734E+12;1,56241E+12;1,65036E+12;1,72703E+12;1,80837E+12;1,92294E+12;1,9767E+12;2,1135E+12;2,17838E+12;2,27109E+12;2,18112E+12;2,2902E+12;2,35477E+12;2,44246E+12;2,5622E+12;2,66666E+12;2,76798E+12;2,8923E+12;3,04189E+12;3,12965E+12;3,33588E+12;3,21907E+12;3,41648E+12;3,95784E+12;3,96675E+12;4,19651E+12
